Registration Number,Sr No.,Project Name,RERA registration number,Project Address,Land Area (In Sq mtrs),Details of payments pending,Current status of the project,Details of cases/ litigations related to the project,Date of commencement,Proposed date of completion,Actual completion date,Remarks (If any),Other relevant experience
K-RERA/PRJ/252/2020,8,Sobha Royal Pavilion Phase 1 - Wing 6 and 7,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/252/2020,9,Sobha Royal Pavilion Phase 2 - Wing 4 and 5,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/252/2020,10,Sobha Royal Pavilion Phase 3 - Wing 16,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,08/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/252/2020,11,"Sobha Royal Pavilion Phase 4 - Wing 1, 2 and 3",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/03/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/252/2020,12,Sobha Royal Pavilion Phase 5 - Wing 8 and 9,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,29/03/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026.There is no option to enter the actual completion date,NA
K-RERA/PRJ/252/2020,13,Sobha Royal Pavilion Phase 6 - Wing 10 and 11,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/252/2020,14,Sobha Palm Court,,"Yelahanka, Bangalore",18413,NIL,Ongoing,1. W.P.No.15988/2015 filed by Sobha Limited against State of Karnataka2.W.P.No.57920/2015 filed by Sobha Limited against State of Karnataka,01/09/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/252/2020,15,"Sobha Royal Pavilion Phase 7 - Wing 12, 13 and 14",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/252/2020,16,Sobha Lake Gardens Phase 1,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",18570,NIL,Ongoing,NIL,01/07/2018,31/05/2023,30/11/2023,NA,NA
K-RERA/PRJ/252/2020,17,Sobha Royal Pavilion Phase 8 - Wing 15,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,31/05/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/252/2020,18,Sobha Lake Gardens Phase 2,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",17244,NIL,Ongoing,NIL,01/07/2018,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/252/2020,19,Sobha Dream Gardens Phase 1 - Wing 8 and 9,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/252/2020,20,"Sobha Dream Gardens Phase 2 - Wing 5, 6 and 7",,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",21347,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/252/2020,21,Sobha Dream Gardens Phase 3 - Wing 3 and 4,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",15156,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/252/2020,22,Sobha Dream Gardens Phase 4 - Wing 1 and 2,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others ,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/252/2020,23,Sobha Dream Gardens Phase 5 - Wing 10,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",4823,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/252/2020,24,Sobha Gardenia,,"Chennai, South,Tamil Nadu,India",27720.74,0,27720.74,NIL,31/01/2018,27/08/2022,27/08/2022,NA,NA
K-RERA/PRJ/252/2020,25,Sobha Palacia,,"Sholinganallur, Chennai, Tamil Nadu",21796.61,0,Ongoing,NIL,01/07/2019,28/06/2024,28/06/2024,NA,NA
K-RERA/PRJ/252/2020,26,Sobha Blossom,,"Sriperumbudur, Chennai",28247.06,0,Ongoing,NIL,09/09/2019,29/06/2022,29/06/2022,NA,NA
K-RERA/PRJ/252/2020,27,Sobha Forest Edge,,"Hosahalli, Kengeri Sub Division, Ward No.198, Bengaluru",13091,nil,Ongoing,nil,16/02/2018,30/09/2022,30/03/2023,NA,NA
K-RERA/PRJ/252/2020,28,Sobha Verdure,,"Vedapatti, Coimbatore",16680.60,0,Ongoing,NIL,01/06/2019,30/05/2023,30/05/2023,NA,NA
K-RERA/PRJ/252/2020,29,Sobha Nesara Block 1,,"Kothrud, Pune",2927.11,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/252/2020,30,Sobha Nesara Block 2,,"Kothrud, Pune",3992.23,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/252/2020,31,Sobha Nesara Block 3,,"Kothrud, Pune",5227.01,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/252/2020,32,"SOBHA CITY PHASE 1, PART 1",,"Gurugram, Haryana",52143.54,0,Ongoing,NIL,23/08/2017,28/04/2022,28/04/2022,NA,NA
K-RERA/PRJ/252/2020,33,"SOBHA CITY- PHASE 1,PART 2",,"Gurugram, Haryana",3103.31,0,Ongoing,NIL,28/08/2017,28/10/2022,NA,NA,NA
K-RERA/PRJ/252/2020,34,"SOBHA CITY (PHASE-2, PART-1)",,"Sector-108, Gurugram",3199.39,0,Ongoing,NIL,01/07/2018,29/04/2023,29/04/2023,NA,NA
K-RERA/PRJ/252/2020,35,SOBHA CITY PHASE III,,"Sector-108, Babupur, Gurugram",3051.45,0,Ongoing,NIL,25/02/2019,28/04/2024,28/04/2024,NA,NA
K-RERA/PRJ/252/2020,36,SOBHA CITY PHASE IV,,"Sector-108, Babupur, Gurugram",10836.48,0,Ongoing,NIL,27/05/2019,29/06/2025,29/06/2025,NA,NA
K-RERA/PRJ/252/2020,37,Sobha Arena - Pebble Court (Block 1),,"Kanakapura Road, Bangalore",11127.06,nil,Ongoing,"Partition Suit O.S.- No.138/2000,No.1835/2014 ,O.S.No.2138/2014, O.S.No.130/2015,O.S.No.240/2012 , Partition Suit O.S.No.93/2009,Injunction SuitO.S.No.953/2015",28/02/2018,30/04/2022,30/10/2022,NA,NA
K-RERA/PRJ/252/2020,38,Sobha Arena - The Square (Block 4),,"Kanakapura Road, Bangalore",13769.09,nil,completed,"Partition Suit O.S.- No.138/2000,No.1835/2014 ,O.S.No.2138/2014, O.S.No.130/2015,O.S.No.240/2012 , Partition Suit O.S.No.93/2009,Injunction SuitO.S.No.953/2015",28/02/2018,31/12/2021,NA,NA,NA
K-RERA/PRJ/252/2020,39,Sobha Silicon Oasis Phase 4 Wing 9,,"Hosa Road, Bangalore",4340,nil,Completed,"1. O.S.No.1287/2014 ,2. W.P.No 28360/2015 ,3. W.P.No.15059/2015 ,4. W.P.No.25462/2019 ,5. W.P.No.7454/2020",21/10/2015,01/01/2021,NA,NA,NA
K-RERA/PRJ/252/2020,40,Sobha Silicon Oasis Phase 5 Wing 10 & 11,,"Hosa Road, Bangalore",10670,nil,Completed,"1. O.S.No.1287/2014 ,2. W.P.No 28360/2015 ,3. W.P.No.15059/2015 ,4. W.P.No.25462/2019 ,5. W.P.No.7454/2020",03/09/2015,01/01/2021,NA,NA,NA
K-RERA/PRJ/252/2020,41,Sobha Dream Acres - Tropical Greens Phase 20 Wing 18,,"Balagere, Bangalore",4747,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",13/06/2018,31/03/2023,30/09/2023,NA,NA
K-RERA/PRJ/252/2020,42,Sobha Dream Acres - Tropical Greens Phase 19 Wings 19 and 20,,"Balagere, Bangalore",9537,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/11/2018,31/12/2022,30/06/2023,NA,NA
K-RERA/PRJ/252/2020,43,"Sobha Dream Acres - Tropical Greens Phase 23 Wing 25, 26, 27 and 28",,"Balagere, Bangalore",20465,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",18/06/2018,31/12/2023,30/06/2024,NA,NA
K-RERA/PRJ/252/2020,44,Sobha Dream Acres - Tropical Greens Phase 18 Wing 39 and 40,,"Balagere, Bangalore",6923,nil,Completed,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",07/10/2017,01/10/2022,01/04/2023,NA,NA
K-RERA/PRJ/252/2020,45,Sobha Dream Acres - Palm Springs Phase 16 Wing 50,,"Balagere, Bangalore",3707.18,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/04/2020,30/06/2022,30/12/2022,NA,NA
K-RERA/PRJ/252/2020,46,"Sobha Dream Acres - Tropical Greens Phase 26 Wing 35, 36, 37 and 38",,"Balagere, Bangalore",21554,nil,Ongoing,"Partition Suit in O.S.No. 594/2016,Partition Suit in O.S.No.356/2010 ,Partition Suit in O.S.No.227/2011 Partition Suit in O.S No. 448/2014 ,Partion Suit in OS No.1351/2009 ,Partition Suit in O.S No.815/2017 W.P.No.17398/2015.,W.P.No. 25145/2019 ,W.P.No. 388/2020 ,W.P.No. 13573/2020",01/05/2019,23/12/2023,24/06/2024,NA,NA
K-RERA/PRJ/251/2020,1,Sobha Dream Heights,,"Gandhinagar, Gujarat",9008,NIL,Ongoing,NIL,01/03/2019,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/251/2020,2,Sobha HRC Pristine Phase 1 Block 1,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11430,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/251/2020,3,Sobha HRC Pristine Phase 4 Block 4 and 5,,"Jakkur Village, Yelahanka Hobli, Bengaluru",1557,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/251/2020,4,Sobha HRC Pristine Phase 2 Block 2,,"Jakkur Village, Yelahanka Hobli, Bengaluru",11391,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/251/2020,5,Sobha HRC Pristine Phase 3 Block 3,,"Jakkur Village, Yelahanka Hobli, Bengaluru",6456,NIL,Ongoing,W.P.No.38743/2017 filed by Sobha Limited against State of Karnataka and others before the High court of Karantaka challenging Ground Rent.,16/11/2017,01/07/2022,01/01/2023,NA,NA
K-RERA/PRJ/251/2020,6,Sobha Morzaria Grandeur 2 (W1),,"Dairy circle, Bangalore",2265,NIL,Ongoing,NIL,15/12/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/251/2020,7,Sobha Rajvilas,,"Sy. No 19/3, Minerva Mill Quarters, Gopalapura",10892,0,Ongoing,"1. W.P.No.41121-41122/2018 - filed by Sobha Limited against BBMP and Others,2.W.P.No.31592-93/2019 - filed by Sobha Limited against Govt of Karnataka and Others",22/11/2018,30/12/2024,30/12/2024,NA,NA
K-RERA/PRJ/251/2020,8,Sobha Royal Pavilion Phase 1 - Wing 6 and 7,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/251/2020,9,Sobha Royal Pavilion Phase 2 - Wing 4 and 5,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/251/2020,10,Sobha Royal Pavilion Phase 3 - Wing 16,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,08/02/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/251/2020,11,"Sobha Royal Pavilion Phase 4 - Wing 1, 2 and 3",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/03/2019,30/03/2024,30/03/2024,NA,NA
K-RERA/PRJ/251/2020,12,Sobha Royal Pavilion Phase 5 - Wing 8 and 9,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10846,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,29/03/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026.There is no option to enter the actual completion date,NA
K-RERA/PRJ/251/2020,13,Sobha Royal Pavilion Phase 6 - Wing 10 and 11,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10616,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/251/2020,14,Sobha Palm Court,,"Yelahanka, Bangalore",18413,NIL,Ongoing,1. W.P.No.15988/2015 filed by Sobha Limited against State of Karnataka2.W.P.No.57920/2015 filed by Sobha Limited against State of Karnataka,01/09/2016,01/05/2021,01/11/2021,NA,NA
K-RERA/PRJ/251/2020,15,"Sobha Royal Pavilion Phase 7 - Wing 12, 13 and 14",,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",16123,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,05/11/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/251/2020,16,Sobha Lake Gardens Phase 1,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",18570,NIL,Ongoing,NIL,01/07/2018,31/05/2023,30/11/2023,NA,NA
K-RERA/PRJ/251/2020,17,Sobha Royal Pavilion Phase 8 - Wing 15,,"Sy No. 54/3, 55/1, 55/2, 58/1, 58/2, 58/3, 59/2, 59/3, 59/4, 59/5, 60/2, 61, 63/1 Hadosiddapura Village",10927,0,Ongoing,W.P.No.30941/2018 filed by Sobha Limited against State of Karnataka and others,31/05/2019,24/03/2026,24/03/2026,Completion date is 30/03/2026,NA
K-RERA/PRJ/251/2020,18,Sobha Lake Gardens Phase 2,,"Bharathi Nagar, Krishnarajapura, Seegehalli Village, K.R. Puram Hobli",17244,NIL,Ongoing,NIL,01/07/2018,31/03/2024,30/09/2024,NA,NA
K-RERA/PRJ/251/2020,19,Sobha Dream Gardens Phase 1 - Wing 8 and 9,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/251/2020,20,"Sobha Dream Gardens Phase 2 - Wing 5, 6 and 7",,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",21347,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,29/08/2024,29/08/2024,NA,NA
K-RERA/PRJ/251/2020,21,Sobha Dream Gardens Phase 3 - Wing 3 and 4,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",15156,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/251/2020,22,Sobha Dream Gardens Phase 4 - Wing 1 and 2,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",14799,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others ,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/251/2020,23,Sobha Dream Gardens Phase 5 - Wing 10,,"Survey No.50, 51 and 54, Belahalli Village, Yelahanka Hobli",4823,0,Ongoing,"1) W.P.No.42748/2018 filed by Sobha Limited against State of Karnataka and others,2) W.P.No.44633/2018 filed by Sobha Limited against State of Karnataka and others",22/11/2018,28/08/2025,28/08/2025,NA,NA
K-RERA/PRJ/251/2020,24,Sobha Gardenia,,"Chennai, South,Tamil Nadu,India",27720.74,0,27720.74,NIL,31/01/2018,27/08/2022,27/08/2022,NA,NA
K-RERA/PRJ/251/2020,25,Sobha Palacia,,"Sholinganallur, Chennai, Tamil Nadu",21796.61,0,Ongoing,NIL,01/07/2019,28/06/2024,28/06/2024,NA,NA
K-RERA/PRJ/251/2020,26,Sobha Blossom,,"Sriperumbudur, Chennai",28247.06,0,Ongoing,NIL,09/09/2019,29/06/2022,29/06/2022,NA,NA
K-RERA/PRJ/251/2020,27,Sobha Forest Edge,,"Hosahalli, Kengeri Sub Division, Ward No.198, Bengaluru",13091,nil,Ongoing,nil,16/02/2018,30/09/2022,30/03/2023,NA,NA
K-RERA/PRJ/251/2020,28,Sobha Verdure,,"Vedapatti, Coimbatore",16680.60,0,Ongoing,NIL,01/06/2019,30/05/2023,30/05/2023,NA,NA
K-RERA/PRJ/251/2020,29,Sobha Nesara Block 1,,"Kothrud, Pune",2927.11,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
K-RERA/PRJ/251/2020,30,Sobha Nesara Block 2,,"Kothrud, Pune",3992.23,0,Ongoing,NIL,01/03/2019,30/09/2024,30/09/2024,NA,NA
